symbol,exchange,date,period,strike,out-of-the-money %,call/put,iv,delta
DAX,DE,03/30/17,360,11039.399,10,P,0.197004,-0.262277
DAX,DE,03/30/17,360,14105.899,15,C,0.14558,0.185557
DAX,DE,03/30/17,360,10426.101,15,P,0.209904,-0.188391
DAX,DE,03/30/17,360,14719.2,20,C,0.138312,0.104082
DAX,DE,03/30/17,360,9812.8,20,P,0.223814,-0.132416
DAX,DE,03/30/17,360,15332.5,25,C,0.132216,0.051156
DAX,DE,03/30/17,360,9199.5,25,P,0.238842,-0.091525
DAX,DE,03/30/17,360,15945.8,30,C,0.127553,0.022332
DAX,DE,03/30/17,360,8586.2,30,P,0.255109,-0.062455
DAX,DE,03/30/17,360,16559.1,35,C,0.124317,0.008918
DAX,DE,03/30/17,360,7972.9,35,P,0.272572,-0.042109
DAX,DE,03/30/17,360,17172.4,40,C,0.122784,0.003484
DAX,DE,03/30/17,360,7359.6,40,P,0.291033,-0.027946
DAX,DE,03/30/17,360,17785.701,45,C,0.122458,0.001375
DAX,DE,03/30/17,360,6746.3,45,P,0.310278,-0.018122
DAX,DE,03/30/17,360,18399,50,C,0.121059,0.000463
DAX,DE,03/30/17,360,6133,50,P,0.330076,-0.011351
DAX,DE,03/30/17,360,19012.299,55,C,0.126867,0.000318
DAX,DE,03/30/17,360,5519.7,55,P,0.35001,-0.006737
DAX,DE,03/30/17,360,19625.6,60,C,0.126867,0.000123
DAX,DE,03/30/17,360,4906.4,60,P,0.370013,-0.003711
DAX,DE,03/30/17,720,12266,0,C,0.201531,0.556272
DAX,DE,03/30/17,720,12266,0,P,0.201531,-0.443728
DAX,DE,03/30/17,720,12879.3,5,C,0.201531,0.487695
DAX,DE,03/30/17,720,11652.7,5,P,0.201531,-0.373445
DAX,DE,03/30/17,720,13492.601,10,C,0.201531,0.422617
DAX,DE,03/30/17,720,11039.399,10,P,0.20195,-0.303878
DAX,DE,03/30/17,720,14105.899,15,C,0.201531,0.362326
DAX,DE,03/30/17,720,10426.101,15,P,0.20777,-0.241078
DAX,DE,03/30/17,720,14719.2,20,C,0.201531,0.307619
DAX,DE,03/30/17,720,9812.8,20,P,0.217896,-0.188844
DAX,DE,03/30/17,720,15332.5,25,C,0.201531,0.25887
DAX,DE,03/30/17,720,9199.5,25,P,0.228615,-0.145369
DAX,DE,03/30/17,720,15945.8,30,C,0.201531,0.21611
DAX,DE,03/30/17,720,8586.2,30,P,0.240523,-0.110336
DAX,DE,03/30/17,720,16559.1,35,C,0.201531,0.179118
DAX,DE,03/30/17,720,7972.9,35,P,0.254118,-0.082959
DAX,DE,03/30/17,720,17172.4,40,C,0.201531,0.147499
DAX,DE,03/30/17,720,7359.6,40,P,0.263582,-0.058796
DAX,DE,03/30/17,720,17785.701,45,C,0.201531,0.12076
DAX,DE,03/30/17,720,6746.3,45,P,0.271725,-0.039431
DAX,DE,03/30/17,720,18399,50,C,0.201531,0.098357
DAX,DE,03/30/17,720,6133,50,P,0.280283,-0.025137
DAX,DE,03/30/17,720,19012.299,55,C,0.201531,0.079741
DAX,DE,03/30/17,720,5519.7,55,P,0.289213,-0.015045
DAX,DE,03/30/17,720,19625.6,60,C,0.201531,0.064384
DAX,DE,03/30/17,720,4906.4,60,P,0.296967,-0.008077
DAX,DE,03/30/17,1080,12266,0,C,0.213097,0.57271
DAX,DE,03/30/17,1080,12266,0,P,0.213097,-0.42729
DAX,DE,03/30/17,1080,12879.3,5,C,0.213097,0.520009
DAX,DE,03/30/17,1080,11652.7,5,P,0.213097,-0.373268
DAX,DE,03/30/17,1080,13492.601,10,C,0.213097,0.469417
DAX,DE,03/30/17,1080,11039.399,10,P,0.213097,-0.318924
DAX,DE,03/30/17,1080,14105.899,15,C,0.213097,0.421522
DAX,DE,03/30/17,1080,10426.101,15,P,0.213097,-0.265446
DAX,DE,03/30/17,1080,14719.2,20,C,0.213097,0.376719
DAX,DE,03/30/17,1080,9812.8,20,P,0.219902,-0.217976
DAX,DE,03/30/17,1080,15332.5,25,C,0.213097,0.335246
DAX,DE,03/30/17,1080,9199.5,25,P,0.228898,-0.17683
DAX,DE,03/30/17,1080,15945.8,30,C,0.213097,0.2972
DAX,DE,03/30/17,1080,8586.2,30,P,0.238709,-0.141424
DAX,DE,03/30/17,1080,16559.1,35,C,0.213097,0.262574
DAX,DE,03/30/17,1080,7972.9,35,P,0.249643,-0.111635
DAX,DE,03/30/17,1080,17172.4,40,C,0.213097,0.231278
DAX,DE,03/30/17,1080,7359.6,40,P,0.261798,-0.086994
DAX,DE,03/30/17,1080,17785.701,45,C,0.213097,0.203163
DAX,DE,03/30/17,1080,6746.3,45,P,0.274395,-0.066471
DAX,DE,03/30/17,1080,18399,50,C,0.213097,0.17804
DAX,DE,03/30/17,1080,6133,50,P,0.287452,-0.049568
DAX,DE,03/30/17,1080,19012.299,55,C,0.213097,0.155694
DAX,DE,03/30/17,1080,5519.7,55,P,0.292632,-0.033031
DAX,DE,03/30/17,1080,19625.6,60,C,0.213097,0.1359
DAX,DE,03/30/17,1080,4906.4,60,P,0.295702,-0.019904
SX5E,N/A,03/30/17,30,3481.67,0,C,0.156179,0.474439
SX5E,N/A,03/30/17,30,3481.67,0,P,0.155782,-0.522311
SX5E,N/A,03/30/17,30,3655.753,5,C,0.129746,0.081631
SX5E,N/A,03/30/17,30,3307.586,5,P,0.194102,-0.18793
SX5E,N/A,03/30/17,30,3829.837,10,C,0.124081,0.002834
SX5E,N/A,03/30/17,30,3133.503,10,P,0.202523,-0.037408
SX5E,N/A,03/30/17,30,4003.92,15,C,0.123716,0.000028
SX5E,N/A,03/30/17,30,2959.419,15,P,0.204889,-0.003125
SX5E,N/A,03/30/17,30,4178.004,20,C,0.123716,0
SX5E,N/A,03/30/17,30,2785.336,20,P,0.260472,-0.001455
SX5E,N/A,03/30/17,30,4352.087,25,C,0.123716,0
SX5E,N/A,03/30/17,30,2611.252,25,P,0.274202,-0.00013
SX5E,N/A,03/30/17,30,4526.171,30,C,0.123716,0
SX5E,N/A,03/30/17,30,2437.169,30,P,0.290268,-0.000009
SX5E,N/A,03/30/17,30,4700.254,35,C,0.123716,0
SX5E,N/A,03/30/17,30,2263.085,35,P,0.290268,-0
SX5E,N/A,03/30/17,30,4874.338,40,C,0.123716,0
SX5E,N/A,03/30/17,30,2089.002,40,P,0.290268,-0
SX5E,N/A,03/30/17,30,5048.421,45,C,0.123716,0
SX5E,N/A,03/30/17,30,1914.918,45,P,0.290268,-0
SX5E,N/A,03/30/17,30,5222.505,50,C,0.123716,0
SX5E,N/A,03/30/17,30,1740.835,50,P,0.290268,0
SX5E,N/A,03/30/17,30,5396.588,55,C,0.123716,0
SX5E,N/A,03/30/17,30,1566.751,55,P,0.290268,0
SX5E,N/A,03/30/17,30,5570.672,60,C,0.123716,0
SX5E,N/A,03/30/17,30,1392.668,60,P,0.290268,0
SX5E,N/A,03/30/17,60,3481.67,0,C,0.17301,0.411681
SX5E,N/A,03/30/17,60,3481.67,0,P,0.1724,-0.572539
SX5E,N/A,03/30/17,60,3655.753,5,C,0.150996,0.146204
SX5E,N/A,03/30/17,60,3307.586,5,P,0.196651,-0.313597
SX5E,N/A,03/30/17,60,3829.837,10,C,0.136146,0.022105
SX5E,N/A,03/30/17,60,3133.503,10,P,0.220726,-0.148319
SX5E,N/A,03/30/17,60,4003.92,15,C,0.134447,0.002173
SX5E,N/A,03/30/17,60,2959.419,15,P,0.245299,-0.063977
SX5E,N/A,03/30/17,60,4178.004,20,C,0.134447,0.000141
SX5E,N/A,03/30/17,60,2785.336,20,P,0.27111,-0.026294
SX5E,N/A,03/30/17,60,4352.087,25,C,0.134447,0.000006
SX5E,N/A,03/30/17,60,2611.252,25,P,0.297383,-0.010383
SX5E,N/A,03/30/17,60,4526.171,30,C,0.134447,0
SX5E,N/A,03/30/17,60,2437.169,30,P,0.326056,-0.004123
SX5E,N/A,03/30/17,60,4700.254,35,C,0.134447,0
SX5E,N/A,03/30/17,60,2263.085,35,P,0.33933,-0.001028
SX5E,N/A,03/30/17,60,4874.338,40,C,0.134447,0
SX5E,N/A,03/30/17,60,2089.002,40,P,0.356519,-0.000238
SX5E,N/A,03/30/17,60,5048.421,45,C,0.134447,0
SX5E,N/A,03/30/17,60,1914.918,45,P,0.356519,-0.000021
SX5E,N/A,03/30/17,60,5222.505,50,C,0.134447,0
SX5E,N/A,03/30/17,60,1740.835,50,P,0.356519,-0.000001
SX5E,N/A,03/30/17,60,5396.588,55,C,0.134447,0
SX5E,N/A,03/30/17,60,1566.751,55,P,0.356519,-0
SX5E,N/A,03/30/17,60,5570.672,60,C,0.134447,0
SX5E,N/A,03/30/17,60,1392.668,60,P,0.356519,-0
SX5E,N/A,03/30/17,90,3481.67,0,C,0.16928,0.403622
SX5E,N/A,03/30/17,90,3481.67,0,P,0.168834,-0.575643
SX5E,N/A,03/30/17,90,3655.753,5,C,0.152572,0.180536
SX5E,N/A,03/30/17,90,3307.586,5,P,0.188898,-0.352792
