symbol,exchange,date,period,strike,out-of-the-money %,call/put,iv,delta
SPY,NYSEArca,03/30/17,90,366.249,55,C,0.108737,0
SPY,NYSEArca,03/30/17,90,106.33,55,P,0.402802,-0.000021
SPY,NYSEArca,03/30/17,90,378.064,60,C,0.108737,0
SPY,NYSEArca,03/30/17,90,94.516,60,P,0.402802,-0.000001
SPY,NYSEArca,03/30/17,120,236.29,0,C,0.11585,0.507032
SPY,NYSEArca,03/30/17,120,236.29,0,P,0.115739,-0.488261
SPY,NYSEArca,03/30/17,120,248.104,5,C,0.093682,0.184986
SPY,NYSEArca,03/30/17,120,224.475,5,P,0.141393,-0.251517
SPY,NYSEArca,03/30/17,120,259.919,10,C,0.090419,0.033863
SPY,NYSEArca,03/30/17,120,212.661,10,P,0.169375,-0.129272
SPY,NYSEArca,03/30/17,120,271.733,15,C,0.099996,0.007724
SPY,NYSEArca,03/30/17,120,200.846,15,P,0.197015,-0.067849
SPY,NYSEArca,03/30/17,120,283.548,20,C,0.10045,0.000819
SPY,NYSEArca,03/30/17,120,189.032,20,P,0.225939,-0.03717
SPY,NYSEArca,03/30/17,120,295.362,25,C,0.10045,0.000057
SPY,NYSEArca,03/30/17,120,177.217,25,P,0.254355,-0.020521
SPY,NYSEArca,03/30/17,120,307.177,30,C,0.10045,0.000003
SPY,NYSEArca,03/30/17,120,165.403,30,P,0.28395,-0.011602
SPY,NYSEArca,03/30/17,120,318.991,35,C,0.10045,0
SPY,NYSEArca,03/30/17,120,153.588,35,P,0.313402,-0.006473
SPY,NYSEArca,03/30/17,120,330.806,40,C,0.10045,0
SPY,NYSEArca,03/30/17,120,141.774,40,P,0.347759,-0.003908
SPY,NYSEArca,03/30/17,120,342.621,45,C,0.10045,0
SPY,NYSEArca,03/30/17,120,129.96,45,P,0.383542,-0.002349
SPY,NYSEArca,03/30/17,120,354.435,50,C,0.10045,0
SPY,NYSEArca,03/30/17,120,118.145,50,P,0.397874,-0.000814
SPY,NYSEArca,03/30/17,120,366.249,55,C,0.10045,0
SPY,NYSEArca,03/30/17,120,106.33,55,P,0.399257,-0.000159
SPY,NYSEArca,03/30/17,120,378.064,60,C,0.10045,0
SPY,NYSEArca,03/30/17,120,94.516,60,P,0.399257,-0.000019
SPY,NYSEArca,03/30/17,150,236.29,0,C,0.120937,0.506194
SPY,NYSEArca,03/30/17,150,236.29,0,P,0.12081,-0.487195
